ID,Name,HP,ATK,DEF,SP.ATK,SP.DEF,SPEED,TYPE1,TYPE2
216,Teddiursa,60,80,50,50,50,40,Normal,None
217,Ursaring,90,130,75,75,75,55,Normal,None
218,Slugma,40,40,40,70,40,20,Fire,None
219,Magcargo,60,50,120,90,80,30,Fire,Rock
220,Swinub,50,50,40,30,30,50,Ice,Ground
221,Piloswine,100,100,80,60,60,50,Ice,Ground
222,Corsola,65,55,95,65,95,35,Water,Rock
223,Remoraid,35,65,35,65,35,65,Water,None
224,Octillery,75,105,75,105,75,45,Water,None
225,Delibird,45,55,45,65,45,75,Ice,Flying
226,Mantine,85,40,70,80,140,70,Water,Flying
227,Skarmory,65,80,140,40,70,70,Steel,Flying
228,Houndour,45,60,30,80,50,65,Dark,Fire
229,Houndoom,75,90,50,110,80,95,Dark,Fire
230,Kingdra,75,95,95,95,95,85,Water,Dragon
231,Phanpy,90,60,60,40,40,40,Ground,None
232,Donphan,90,120,120,60,60,50,Ground,None
233,Porygon2,85,80,90,105,95,60,Normal,None
234,Stantler,73,95,62,85,65,85,Normal,None
235,Smeargle,55,20,35,20,45,75,Normal,None
236,Tyrogue,35,35,35,35,35,35,Fighting,None
237,Hitmontop,50,95,95,35,110,70,Fighting,None
238,Smoochum,45,30,15,85,65,65,Ice,Psychic
239,Elekid,45,63,37,65,55,95,Electric,None
240,Magby,45,75,37,70,55,83,Fire,None
241,Miltank,95,80,105,40,70,100,Normal,None
242,Blissey,255,10,10,75,135,55,Normal,None
243,Raikou,90,85,75,115,100,115,Electric,None
244,Entei,115,115,85,90,75,100,Fire,None
245,Suicune,100,75,115,90,115,85,Water,None
246,Larvitar,50,64,50,45,50,41,Rock,Ground
247,Pupitar,70,84,70,65,70,51,Rock,Ground
248,Tyranitar,100,134,110,95,100,61,Rock,Dark
249,Lugia,106,90,130,90,154,110,Psychic,Flying
250,Ho-oh,106,130,90,110,154,90,Fire,Flying
251,Celebi,100,100,100,100,100,100,Psychic,Grass
252,Treecko,40,45,35,65,55,70,Grass,None
253,Grovyle,50,65,45,85,65,95,Grass,None
254,Sceptile,70,85,65,105,85,120,Grass,None
255,Torchic,45,60,40,70,50,45,Fire,None
256,Combusken,60,85,60,85,60,55,Fire,Fighting
257,Blaziken,80,120,70,110,70,80,Fire,Fighting
258,Mudkip,50,70,50,50,50,40,Water,None
259,Marshtomp,70,85,70,60,70,50,Water,Ground
260,Swampert,100,110,90,85,90,60,Water,Ground
261,Poochyena,35,55,35,30,30,35,Dark,None
262,Mightyena,70,90,70,60,60,70,Dark,None
263,Zigzagoon,38,30,41,30,41,60,Normal,None
264,Linoone,78,70,61,50,61,100,Normal,None
265,Wurmple,45,45,35,20,30,20,Bug,None
266,Silcoon,50,35,55,25,25,15,Bug,None
267,Beautifly,60,70,50,100,50,65,Bug,Flying
268,Cascoon,50,35,55,25,25,15,Bug,None
269,Dustox,60,50,70,50,90,65,Bug,Poison
270,Lotad,40,30,30,40,50,30,Water,Grass
271,Lombre,60,50,50,60,70,50,Water,Grass
272,Ludicolo,80,70,70,90,100,70,Water,Grass
273,Seedot,40,40,50,30,30,30,Grass,None
274,Nuzleaf,70,70,40,60,40,60,Grass,Dark
275,Shiftry,90,100,60,90,60,80,Grass,Dark
276,Taillow,40,55,30,30,30,85,Normal,Flying
277,Swellow,60,85,60,75,50,125,Normal,Flying
278,Wingull,40,30,30,55,30,85,Water,Flying
279,Pelipper,60,50,100,95,70,65,Water,Flying
280,Ralts,28,25,25,45,35,40,Psychic,Fairy
281,Kirlia,38,35,35,65,55,50,Psychic,Fairy
282,Gardevoir,68,65,65,125,115,80,Psychic,Fairy
283,Surskit,40,30,32,50,52,65,Bug,Water
284,Masquerain,70,60,62,100,82,80,Bug,Flying
285,Shroomish,60,40,60,40,60,35,Grass,None
286,Breloom,60,130,80,60,60,70,Grass,Fighting
287,Slakoth,60,60,60,35,35,30,Normal,None
288,Vigoroth,80,80,80,55,55,90,Normal,None
289,Slaking,150,160,100,95,65,100,Normal,None
290,Nincada,31,45,90,30,30,40,Bug,Ground
291,Ninjask,61,90,45,50,50,160,Bug,Flying
292,Shedinja,1,90,45,30,30,40,Bug,Ghost
293,Whismur,64,51,23,51,23,28,Normal,None
294,Loudred,84,71,43,71,43,48,Normal,None
295,Exploud,104,91,63,91,73,68,Normal,None
296,Makuhita,72,60,30,20,30,25,Fighting,None
297,Hariyama,144,120,60,40,60,50,Fighting,None
298,Azurill,50,20,40,20,40,20,Normal,Fairy
299,Nosepass,30,45,135,45,90,30,Rock,None
300,Skitty,50,45,45,35,35,50,Normal,None
301,Delcatty,70,65,65,55,55,90,Normal,None
302,Sableye,50,75,75,65,65,50,Dark,Ghost
303,Mawile,50,85,85,55,55,50,Steel,Fairy
304,Aron,50,70,100,40,40,30,Steel,Rock
305,Lairon,60,90,140,50,50,40,Steel,Rock
306,Aggron,70,110,180,60,60,50,Steel,Rock
307,Meditite,30,40,55,40,55,60,Fighting,Psychic
308,Medicham,60,60,75,60,75,80,Fighting,Psychic
309,Electrike,40,45,40,65,40,65,Electric,None
310,Manectric,70,75,60,105,60,105,Electric,None
311,Plusle,60,50,40,85,75,95,Electric,None
312,Minun,60,40,50,75,85,95,Electric,None
313,Volbeat,65,73,75,47,85,85,Bug,None
314,Illumise,65,47,75,73,85,85,Bug,None
315,Roselia,50,60,45,100,80,65,Grass,Poison
316,Gulpin,70,43,53,43,53,40,Poison,None
317,Swalot,100,73,83,73,83,55,Poison,None
318,Carvanha,45,90,20,65,20,65,Water,Dark
319,Sharpedo,70,120,40,95,40,95,Water,Dark
320,Wailmer,130,70,35,70,35,60,Water,None
321,Wailord,170,90,45,90,45,60,Water,None
322,Numel,60,60,40,65,45,35,Fire,Ground
323,Camerupt,70,100,70,105,75,40,Fire,Ground
324,Torkoal,70,85,140,85,70,20,Fire,None
325,Spoink,60,25,35,70,80,60,Psychic,None
326,Grumpig,80,45,65,90,110,80,Psychic,None
327,Spinda,60,60,60,60,60,60,Normal,None
328,Trapinch,45,100,45,45,45,10,Ground,None
329,Vibrava,50,70,50,50,50,70,Ground,Dragon
330,Flygon,80,100,80,80,80,100,Ground,Dragon
331,Cacnea,50,85,40,85,40,35,Grass,None
332,Cacturne,70,115,60,115,60,55,Grass,Dark
333,Swablu,45,40,60,40,75,50,Normal,Flying
334,Altaria,75,70,90,70,105,80,Dragon,Flying
335,Zangoose,73,115,60,60,60,90,Normal,None
336,Seviper,73,100,60,100,60,65,Poison,None
337,Lunatone,90,55,65,95,85,70,Rock,Psychic
338,Solrock,90,95,85,55,65,70,Rock,Psychic
339,Barboach,50,48,43,46,41,60,Water,Ground
340,Whiscash,110,78,73,76,71,60,Water,Ground
341,Corphish,43,80,65,50,35,35,Water,None
342,Crawdaunt,63,120,85,90,55,55,Water,Dark
343,Baltoy,40,40,55,40,70,55,Ground,Psychic
344,Claydol,60,70,105,70,120,75,Ground,Psychic
345,Lileep,66,41,77,61,87,23,Rock,Grass
346,Cradily,86,81,97,81,107,43,Rock,Grass
347,Anorith,45,95,50,40,50,75,Rock,Bug
348,Armaldo,75,125,100,70,80,45,Rock,Bug
349,Feebas,20,15,20,10,55,80,Water,None
350,Milotic,95,60,79,100,125,81,Water,None
351,Castform,70,70,70,70,70,70,Normal,None
352,Kecleon,60,90,70,60,120,40,Normal,None
353,Shuppet,44,75,35,63,33,45,Ghost,None
354,Banette,64,115,65,83,63,65,Ghost,None
355,Duskull,20,40,90,30,90,25,Ghost,None
356,Dusclops,40,70,130,60,130,25,Ghost,None
357,Tropius,99,68,83,72,87,51,Grass,Flying
358,Chimecho,75,50,80,95,90,65,Psychic,None
359,Absol,65,130,60,75,60,75,Dark,None
360,Wynaut,95,23,48,23,48,23,Psychic,None
361,Snorunt,50,50,50,50,50,50,Ice,None
362,Glalie,80,80,80,80,80,80,Ice,None
363,Spheal,70,40,50,55,50,25,Ice,Water
364,Sealeo,90,60,70,75,70,45,Ice,Water
365,Walrein,110,80,90,95,90,65,Ice,Water
366,Clamperl,35,64,85,74,55,32,Water,None
367,Huntail,55,104,105,94,75,52,Water,None
368,Gorebyss,55,84,105,114,75,52,Water,None
369,Relicanth,100,90,130,45,65,55,Water,Rock
370,Luvdisc,43,30,55,40,65,97,Water,None
371,Bagon,45,75,60,40,30,50,Dragon,None
372,Shelgon,65,95,100,60,50,50,Dragon,None
373,Salamence,95,135,80,110,80,100,Dragon,Flying
374,Beldum,40,55,80,35,60,30,Steel,Psychic
375,Metang,60,75,100,55,80,50,Steel,Psychic
376,Metagross,80,135,130,95,90,70,Steel,Psychic
377,Regirock,80,100,200,50,100,50,Rock,None
378,Regice,80,50,100,100,200,50,Ice,None
379,Registeel,80,75,150,75,150,50,Steel,None
380,Latias,80,80,90,110,130,110,Dragon,Psychic
381,Latios,80,90,80,130,110,110,Dragon,Psychic
382,Kyogre,100,100,90,150,140,90,Water,None
383,Groudon,100,150,140,100,90,90,Ground,None
384,Rayquaza,105,150,90,150,90,95,Dragon,Flying
385,Jirachi,100,100,100,100,100,100,Steel,Psychic
386,DeoxysNormal Forme,50,150,50,150,50,150,Psychic,None
387,Turtwig,55,68,64,45,55,31,Grass,None
388,Grotle,75,89,85,55,65,36,Grass,None
389,Torterra,95,109,105,75,85,56,Grass,Ground
390,Chimchar,44,58,44,58,44,61,Fire,None
391,Monferno,64,78,52,78,52,81,Fire,Fighting
392,Infernape,76,104,71,104,71,108,Fire,Fighting
393,Piplup,53,51,53,61,56,40,Water,None
394,Prinplup,64,66,68,81,76,50,Water,None
395,Empoleon,84,86,88,111,101,60,Water,Steel
396,Starly,40,55,30,30,30,60,Normal,Flying
397,Staravia,55,75,50,40,40,80,Normal,Flying
398,Staraptor,85,120,70,50,60,100,Normal,Flying
399,Bidoof,59,45,40,35,40,31,Normal,None
400,Bibarel,79,85,60,55,60,71,Normal,Water
401,Kricketot,37,25,41,25,41,25,Bug,None
402,Kricketune,77,85,51,55,51,65,Bug,None
403,Shinx,45,65,34,40,34,45,Electric,None
404,Luxio,60,85,49,60,49,60,Electric,None
405,Luxray,80,120,79,95,79,70,Electric,None
406,Budew,40,30,35,50,70,55,Grass,Poison
407,Roserade,60,70,65,125,105,90,Grass,Poison
408,Cranidos,67,125,40,30,30,58,Rock,None
409,Rampardos,97,165,60,65,50,58,Rock,None
410,Shieldon,30,42,118,42,88,30,Rock,Steel
411,Bastiodon,60,52,168,47,138,30,Rock,Steel
412,Burmy,40,29,45,29,45,36,Bug,None
413,WormadamPlant Cloak,60,59,85,79,105,36,Bug,Grass
414,Mothim,70,94,50,94,50,66,Bug,Flying
415,Combee,30,30,42,30,42,70,Bug,Flying
416,Vespiquen,70,80,102,80,102,40,Bug,Flying
417,Pachirisu,60,45,70,45,90,95,Electric,None
418,Buizel,55,65,35,60,30,85,Water,None
419,Floatzel,85,105,55,85,50,115,Water,None
420,Cherubi,45,35,45,62,53,35,Grass,None
421,Cherrim,70,60,70,87,78,85,Grass,None
422,Shellos,76,48,48,57,62,34,Water,None
423,Gastrodon,111,83,68,92,82,39,Water,Ground
424,Ambipom,75,100,66,60,66,115,Normal,None
425,Drifloon,90,50,34,60,44,70,Ghost,Flying
426,Drifblim,150,80,44,90,54,80,Ghost,Flying
427,Buneary,55,66,44,44,56,85,Normal,None
428,Lopunny,65,76,84,54,96,105,Normal,None
429,Mismagius,60,60,60,105,105,105,Ghost,None
430,Honchkrow,100,125,52,105,52,71,Dark,Flying
431,Glameow,49,55,42,42,37,85,Normal,None
432,Purugly,71,82,64,64,59,112,Normal,None
433,Chingling,45,30,50,65,50,45,Psychic,None
434,Stunky,63,63,47,41,41,74,Poison,Dark
435,Skuntank,103,93,67,71,61,84,Poison,Dark
436,Bronzor,57,24,86,24,86,23,Steel,Psychic
437,Bronzong,67,89,116,79,116,33,Steel,Psychic
438,Bonsly,50,80,95,10,45,10,Rock,None
439,Mime Jr.,20,25,45,70,90,60,Psychic,Fairy
440,Happiny,100,5,5,15,65,30,Normal,None
441,Chatot,76,65,45,92,42,91,Normal,Flying
442,Spiritomb,50,92,108,92,108,35,Ghost,Dark
443,Gible,58,70,45,40,45,42,Dragon,Ground
444,Gabite,68,90,65,50,55,82,Dragon,Ground
445,Garchomp,108,130,95,80,85,102,Dragon,Ground
446,Munchlax,135,85,40,40,85,5,Normal,None
447,Riolu,40,70,40,35,40,60,Fighting,None
448,Lucario,70,110,70,115,70,90,Fighting,Steel
449,Hippopotas,68,72,78,38,42,32,Ground,None
450,Hippowdon,108,112,118,68,72,47,Ground,None
451,Skorupi,40,50,90,30,55,65,Poison,Bug
452,Drapion,70,90,110,60,75,95,Poison,Dark
453,Croagunk,48,61,40,61,40,50,Poison,Fighting
454,Toxicroak,83,106,65,86,65,85,Poison,Fighting
455,Carnivine,74,100,72,90,72,46,Grass,None
456,Finneon,49,49,56,49,61,66,Water,None
457,Lumineon,69,69,76,69,86,91,Water,None
458,Mantyke,45,20,50,60,120,50,Water,Flying
459,Snover,60,62,50,62,60,40,Grass,Ice
460,Abomasnow,90,92,75,92,85,60,Grass,Ice
461,Weavile,70,120,65,45,85,125,Dark,Ice
462,Magnezone,70,70,115,130,90,60,Electric,Steel
463,Lickilicky,110,85,95,80,95,50,Normal,None
464,Rhyperior,115,140,130,55,55,40,Ground,Rock
465,Tangrowth,100,100,125,110,50,50,Grass,None
466,Electivire,75,123,67,95,85,95,Electric,None
467,Magmortar,75,95,67,125,95,83,Fire,None
468,Togekiss,85,50,95,120,115,80,Fairy,Flying
469,Yanmega,86,76,86,116,56,95,Bug,Flying
470,Leafeon,65,110,130,60,65,95,Grass,None
471,Glaceon,65,60,110,130,95,65,Ice,None
472,Gliscor,75,95,125,45,75,95,Ground,Flying
473,Mamoswine,110,130,80,70,60,80,Ice,Ground
474,Porygon-Z,85,80,70,135,75,90,Normal,None
475,Gallade,68,125,65,65,115,80,Psychic,Fighting
476,Probopass,60,55,145,75,150,40,Rock,Steel
477,Dusknoir,45,100,135,65,135,45,Ghost,None
478,Froslass,70,80,70,80,70,110,Ice,Ghost
479,Rotom,50,50,77,95,77,91,Electric,Ghost
480,Uxie,75,75,130,75,130,95,Psychic,None
481,Mesprit,80,105,105,105,105,80,Psychic,None
482,Azelf,75,125,70,125,70,115,Psychic,None
483,Dialga,100,120,120,150,100,90,Steel,Dragon
484,Palkia,90,120,100,150,120,100,Water,Dragon
485,Heatran,91,90,106,130,106,77,Fire,Steel
486,Regigigas,110,160,110,80,110,100,Normal,None
487,GiratinaAltered Forme,150,100,120,100,120,90,Ghost,Dragon
488,Cresselia,120,70,120,75,130,85,Psychic,None
489,Phione,80,80,80,80,80,80,Water,None
490,Manaphy,100,100,100,100,100,100,Water,None
491,Darkrai,70,90,90,135,90,125,Dark,None
492,ShayminLand Forme,100,100,100,100,100,100,Grass,None
493,Arceus,120,120,120,120,120,120,Normal,None
494,Victini,100,100,100,100,100,100,Psychic,Fire
495,Snivy,45,45,55,45,55,63,Grass,None
496,Servine,60,60,75,60,75,83,Grass,None
497,Serperior,75,75,95,75,95,113,Grass,None
498,Tepig,65,63,45,45,45,45,Fire,None
499,Pignite,90,93,55,70,55,55,Fire,Fighting
500,Emboar,110,123,65,100,65,65,Fire,Fighting
501,Oshawott,55,55,45,63,45,45,Water,None
502,Dewott,75,75,60,83,60,60,Water,None
503,Samurott,95,100,85,108,70,70,Water,None
504,Patrat,45,55,39,35,39,42,Normal,None
505,Watchog,60,85,69,60,69,77,Normal,None
506,Lillipup,45,60,45,25,45,55,Normal,None
507,Herdier,65,80,65,35,65,60,Normal,None
508,Stoutland,85,110,90,45,90,80,Normal,None
509,Purrloin,41,50,37,50,37,66,Dark,None
510,Liepard,64,88,50,88,50,106,Dark,None
511,Pansage,50,53,48,53,48,64,Grass,None
512,Simisage,75,98,63,98,63,101,Grass,None
513,Pansear,50,53,48,53,48,64,Fire,None
514,Simisear,75,98,63,98,63,101,Fire,None
515,Panpour,50,53,48,53,48,64,Water,None
516,Simipour,75,98,63,98,63,101,Water,None
517,Munna,76,25,45,67,55,24,Psychic,None
518,Musharna,116,55,85,107,95,29,Psychic,None
519,Pidove,50,55,50,36,30,43,Normal,Flying
520,Tranquill,62,77,62,50,42,65,Normal,Flying
521,Unfezant,80,115,80,65,55,93,Normal,Flying
